region,category,parameter,mode,powertrain,year,value,unit_GWh,unit_Milion barrels per day,"unit_Oil displacement, million lge",unit_Vehicles,unit_charging points,unit_percent
Australia,Historical,EV charging points,EV,Publicly available fast,2017,40.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available slow,2017,440.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available fast,2018,61.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available slow,2018,670.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available fast,2019,250.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available slow,2019,1700.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available fast,2020,350.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available slow,2020,2000.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available fast,2021,320.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available slow,2021,2000.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available fast,2022,470.0,0,0,0,0,1,0
Australia,Historical,EV charging points,EV,Publicly available slow,2022,2100.0,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2011,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2011,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2012,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2012,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2013,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2013,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2014,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2014,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2015,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2015,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2016,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2016,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2017,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2017,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2018,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2018,0.1000000014901161,0,0,0,0,1,0
